ano;cod_ies;nome_ies;sigla_ies;categoria_adm;organizacao_acad;uf;igc_continuo;igc_faixa;nome_google_place;latitude;longitude;endereco;endereco_detalhe
2018;2560;FACULDADE DE ENSINO SUPERIOR DA CIDADE DE FEIRA DE SANTANA;FAESF/UNEF;Privada com fins lucrativos;Faculdade;BA;4,12659;5;UNEF - Unidade de Ensino Superior de Feira de Santana;-12.2741515;-38.9334009;Av. Luís, Av. Eduardo Magalhães Subaé - Aviário, Feira de Santana - BA, 44079-002, Brasil;P3G8+8J Aviário, Feira de Santana - BA
2018;2564;UNIVERSIDADE FEDERAL DE CAMPINA GRANDE;UFCG;Pública Federal;Universidade;PB;3,30821;4;UFCG - Campus Campina Grande;-7.2171368;-35.9097543;R. Aprígio Veloso, 882 - Universitário, Campina Grande - PB, 58428-830, Brasil;Q3MR+43 Universitário, Campina Grande - PB
2018;2565;ABEU - CENTRO UNIVERSITÁRIO;UNIABEU;Privada sem fins lucrativos;Centro Universitário;RJ;2,35902;3;UNIABEU - Centro Universitário;-22.760819;-43.39990299999999;R. Itaiara, 301 - Centro, Belford Roxo - RJ, 26113-400, Brasil;6JQ2+M2 Centro, Belford Roxo - RJ
2018;2566;INSTITUTO DE ENSINO SUPERIOR DE OLINDA;IESO;Privada com fins lucrativos;Faculdade;PE;NA;SC;IESO/FACCOR/FACIR - Instituto de Ensino Superior de Olinda;-8.0194394;-34.8504183;Av. Sigismundo Gonçalves, 375 - Varadouro, Olinda - PE, 53010-240, Brasil;X4JX+6R Varadouro, Olinda - PE
2018;2568;FACULDADE ZACARIAS DE GÓES;FAZAG;Privada sem fins lucrativos;Faculdade;BA;2,24531;3;;;;;
2018;2569;FACULDADE DE TECNOLOGIA FAESA;CET-FAESA;Privada com fins lucrativos;Faculdade;ES;2,99911;4;CET FAESA;-20.3111403;-40.3156091;Av. Vitória - Nazareth, Vitória - ES, 29053-360, Brasil;MMQM+GQ Nazareth, Vitória - ES
2018;2571;CENTRO UNIVERSITÁRIO REDENTOR;FACREDENTOR;Privada sem fins lucrativos;Centro Universitário;RJ;3,17809;4;Redentor;-25.4798192;-49.1705268;R. Laérte Fenelon, 684 - Ipê, São José dos Pinhais - PR, 83055-050, Brasil;GRCH+3Q Ipê, São José dos Pinhais - PR
2018;2572;FACULDADE REGIONAL DE FILOSOFIA, CIÊNCIAS E LETRAS DE CANDEIAS;FAC;Privada com fins lucrativos;Faculdade;BA;1,60791;2;Faculdade de Candeias;-12.6894516;-38.4952753;Rodovia BA-522, KM 8 s/n - Caroba, Candeias - BA, 43813-300, Brasil;8G63+6V Candeias, BA
2018;2573;FACULDADE TEOLÓGICA SUL AMERICANA;FTSA;Privada sem fins lucrativos;Faculdade;PR;3,12063;4;Faculdade Teológica Sul Americana;-23.3356058;-51.18713589999999;R. Martinho Lutero, 277 - Gleba Fazenda Palhano, Londrina - PR, 86055-670, Brasil;MR77+Q4 Gleba Fazenda Palhano, Londrina - PR
2018;2576;FACULDADES PITÁGORAS UNIDADE GUARAPARI;FIPAG;Privada com fins lucrativos;Faculdade;ES;2,26246;3;Faculdade Pitágoras, Unidade Guarapari;-20.6568516;-40.50397419999999;Rod. Jones dos Santos Neves, 1000 - Lagoa Funda, Guarapari - ES, 29214-005, Brasil;8FVW+7C Lagoa Funda, Guarapari - ES
