Name;State;Region;Ano;IDHM;"IDHM Educacao";"IDHM Longividade";"IDHM Renda"
Canutama;Amazonas;Norte;2000;0.380;0.191;0.648;0.442
Canutama;Amazonas;Norte;2010;0.530;0.379;0.752;0.522
Carauari;Amazonas;Norte;1991;0.268;0.071;0.583;0.465
Carauari;Amazonas;Norte;2000;0.344;0.134;0.634;0.481
Carauari;Amazonas;Norte;2010;0.549;0.416;0.745;0.534
Careiro;Amazonas;Norte;1991;0.237;0.049;0.640;0.422
Careiro;Amazonas;Norte;2000;0.337;0.118;0.699;0.466
Careiro;Amazonas;Norte;2010;0.557;0.431;0.779;0.515
"Careiro da Várzea";Amazonas;Norte;1991;0.248;0.050;0.622;0.492
"Careiro da Várzea";Amazonas;Norte;2000;0.387;0.172;0.694;0.486
"Careiro da Várzea";Amazonas;Norte;2010;0.568;0.450;0.779;0.523
Coari;Amazonas;Norte;1991;0.312;0.105;0.622;0.467
Coari;Amazonas;Norte;2000;0.389;0.174;0.703;0.481
Coari;Amazonas;Norte;2010;0.586;0.425;0.780;0.606
Codajás;Amazonas;Norte;1991;0.355;0.147;0.563;0.539
Codajás;Amazonas;Norte;2000;0.440;0.237;0.661;0.543
Codajás;Amazonas;Norte;2010;0.563;0.421;0.775;0.546
Eirunepé;Amazonas;Norte;1991;0.295;0.104;0.599;0.413
Eirunepé;Amazonas;Norte;2000;0.409;0.230;0.648;0.458
Eirunepé;Amazonas;Norte;2010;0.563;0.431;0.756;0.548
Envira;Amazonas;Norte;1991;0.263;0.073;0.599;0.416
Envira;Amazonas;Norte;2000;0.346;0.158;0.642;0.409
Envira;Amazonas;Norte;2010;0.509;0.349;0.727;0.521
"Fonte Boa";Amazonas;Norte;1991;0.243;0.055;0.576;0.453
"Fonte Boa";Amazonas;Norte;2000;0.320;0.110;0.618;0.483
"Fonte Boa";Amazonas;Norte;2010;0.530;0.400;0.719;0.518
Guajará;Amazonas;Norte;1991;0.266;0.078;0.576;0.420
Guajará;Amazonas;Norte;2000;0.381;0.179;0.665;0.463
Guajará;Amazonas;Norte;2010;0.532;0.387;0.762;0.510
Humaitá;Amazonas;Norte;1991;0.296;0.080;0.669;0.485
Humaitá;Amazonas;Norte;2000;0.475;0.272;0.699;0.565
Humaitá;Amazonas;Norte;2010;0.605;0.451;0.791;0.621
Ipixuna;Amazonas;Norte;1991;0.257;0.085;0.539;0.371
Ipixuna;Amazonas;Norte;2000;0.318;0.129;0.665;0.374
