City;IsCapital;State;StateAbbrev;Region;IDHM;IDHMEducacao;IDHMLongividade;IDHMRenda;PIB;PIBperCapita;Population;Atividade1;Atividade2;Atividade3;QuantityStartups;TotalFundingAmount;Geocode.lon;Geocode.lat
Suzano;0;São Paulo;SP;Sudeste;765;723;873;708;10761082; 37009.04;297637;Indústrias de transformação;Demais serviços;Administração, defesa, educação e saúde públicas e seguridade social;2;0;-46.3116250;-23.5453209
Taboão da Serra;0;São Paulo;SP;Sudeste;769;710;863;742;8843886; 31626.65;289664;Demais serviços;Indústrias de transformação;Comércio e reparação de veículos automotores e motocicletas;5;5489729;-46.7816647;-23.6228759
Taquaral;0;São Paulo;SP;Sudeste;759;716;823;742;38032; 13472.17;2811;Administração, defesa, educação e saúde públicas e seguridade social;Demais serviços;Agricultura, inclusive apoio à agricultura e a pós colheita;1;0;-48.4144819;-21.0732440
Taubaté;0;São Paulo;SP;Sudeste;800;746;883;778;16799723; 54552.88;314924;Demais serviços;Indústrias de transformação;Administração, defesa, educação e saúde públicas e seguridade social;7;49994;-45.5486715;-23.0225753
Valinhos;0;São Paulo;SP;Sudeste;819;763;850;848;5734500; 46237.02;129193;Demais serviços;Indústrias de transformação;Comércio e reparação de veículos automotores e motocicletas;5;1349428;-46.9945643;-22.9680841
Vargem Grande Paulista;0;São Paulo;SP;Sudeste;770;683;884;755;1805301; 35857.88;52597;Demais serviços;Comércio e reparação de veículos automotores e motocicletas;Indústrias de transformação;1;0;-47.0224881;-23.5998291
Vinhedo;0;São Paulo;SP;Sudeste;817;739;878;840;8729936;116199.28;78728;Indústrias de transformação;Demais serviços;Comércio e reparação de veículos automotores e motocicletas;3;0;-46.9818353;-23.0264868
Votuporanga;0;São Paulo;SP;Sudeste;790;744;857;772;2808057; 30269.67;94547;Demais serviços;Indústrias de transformação;Comércio e reparação de veículos automotores e motocicletas;1;0;-49.9702752;-20.4173291
Apucarana;0;Paraná;PR;Sul;748;668;845;741;3167647; 23872.36;134996;Demais serviços;Administração, defesa, educação e saúde públicas e seguridade social;Indústrias de transformação;1;0;-51.4588028;-23.5536957
Araucária;0;Paraná;PR;Sul;740;639;852;743;16972345;123478.34;143843;Indústrias de transformação;Demais serviços;Comércio e reparação de veículos automotores e motocicletas;3;0;-49.4052251;-25.5864310
Campo Largo;0;Paraná;PR;Sul;745;664;854;730;4151593; 32610.37;132002;Demais serviços;Indústrias de transformação;Administração, defesa, educação e saúde públicas e seguridade social;3;0;-49.5273149;-25.4596855
Cascavel;0;Paraná;PR;Sul;782;728;846;776;11374861; 35590.04;328454;Demais serviços;Comércio e reparação de veículos automotores e motocicletas;Administração, defesa, educação e saúde públicas e seguridade social;8;0;-53.4595112;-24.9577771
Castro;0;Paraná;PR;Sul;703;600;823;704;2658989; 37188.13;71484;Demais serviços;Indústrias de transformação;Administração, defesa, educação e saúde públicas e seguridade social;1;0;-49.9982361;-24.8054741
Cianorte;0;Paraná;PR;Sul;755;685;841;747;2716202; 34135.58;82620;Demais serviços;Indústrias de transformação;Administração, defesa, educação e saúde públicas e seguridade social;1;0;-52.6119350;-23.6628906
Colombo;0;Paraná;PR;Sul;733;632;870;715;4733738; 19939.76;243726;Demais serviços;Administração, defesa, educação e saúde públicas e seguridade social;Comércio e reparação de veículos automotores e motocicletas;1;0;-49.2269425;-25.2919692
Curitiba;1;Paraná;PR;Sul;823;768;855;850;84702357; 44384.92;1933105;Demais serviços;Comércio e reparação de veículos automotores e motocicletas;Administração, defesa, educação e saúde públicas e seguridade social;296;120394489;-49.3044253;-25.4808762
Dois Vizinhos;0;Paraná;PR;Sul;767;711;850;747;1509718; 37879.33;40641;Demais serviços;Indústrias de transformação;Administração, defesa, educação e saúde públicas e seguridade social;3;30841;-53.0615734;-25.7464549
Fazenda Rio Grande;0;Paraná;PR;Sul;720;617;847;713;2381558; 25009.80;100209;Demais serviços;Administração, defesa, educação e saúde públicas e seguridade social;Indústrias de transformação;1;0;-49.3075890;-25.6636224
Foz do Iguaçu;0;Paraná;PR;Sul;751;661;858;748;13463838; 50990.89;258532;Eletricidade e gás, água, esgoto, atividades de gestão de resíduos e descontaminação;Demais serviços;Administração, defesa, educação e saúde públicas e seguridade social;10;0;-54.5853764;-25.5163356
Francisco Beltrão;0;Paraná;PR;Sul;774;726;844;758;3069186; 34693.79;91093;Demais serviços;Indústrias de transformação;Comércio e reparação de veículos automotores e motocicletas;4;0;-53.0519900;-26.0779448
Guarapuava;0;Paraná;PR;Sul;731;628;853;730;5606255; 31083.01;181504;Demais serviços;Comércio e reparação de veículos automotores e motocicletas;Administração, defesa, educação e saúde públicas e seguridade social;1;0;-51.4628097;-25.3907214
Ipiranga;0;Paraná;PR;Sul;652;489;828;684;475891; 31434.76;15172;Agricultura, inclusive apoio à agricultura e a pós colheita;Demais serviços;Administração, defesa, educação e saúde públicas e seguridade social;2;0;-50.5835338;-25.0253304
Itambaracá;0;Paraná;PR;Sul;694;639;789;664;136563; 20026.78;6582;Agricultura, inclusive apoio à agricultura e a pós colheita;Demais serviços;Administração, defesa, educação e saúde públicas e seguridade social;1;0;-50.4017553;-23.0136406
Jacarezinho;0;Paraná;PR;Sul;743;663;844;734;1178814; 29277.85;39378;Demais serviços;Indústrias de transformação;Administração, defesa, educação e saúde públicas e seguridade social;2;0;-49.9777202;-23.1579390
Londrina;0;Paraná;PR;Sul;778;712;837;789;19235188; 34444.56;569733;Demais serviços;Comércio e reparação de veículos automotores e motocicletas;Administração, defesa, educação e saúde públicas e seguridade social;36;130389;-51.1695824;-23.3044524
Marechal Cândido Rondon;0;Paraná;PR;Sul;774;704;842;782;2199044; 42456.68;52944;Demais serviços;Indústrias de transformação;Administração, defesa, educação e saúde públicas e seguridade social;4;0;-54.0591904;-24.5641645
Maringá;0;Paraná;PR;Sul;808;768;852;806;16906177; 41569.88;423666;Demais serviços;Comércio e reparação de veículos automotores e motocicletas;Administração, defesa, educação e saúde públicas e seguridade social;29;97640;-51.9330558;-23.4209995
Marumbi;0;Paraná;PR;Sul;721;643;826;705;75168; 15774.94;4679;Administração, defesa, educação e saúde públicas e seguridade social;Agricultura, inclusive apoio à agricultura e a pós colheita;Demais serviços;1;0;-51.6408616;-23.7062415
Nossa Senhora das Graças;0;Paraná;PR;Sul;709;631;832;679;73089; 17936.04;4008;Agricultura, inclusive apoio à agricultura e a pós colheita;Administração, defesa, educação e saúde públicas e seguridade social;Demais serviços;2;0;-51.7889062;-22.9114615
Palmas;0;Paraná;PR;Sul;660;505;827;687;1103453; 22524.05;50986;Demais serviços;Administração, defesa, educação e saúde públicas e seguridade social;Indústrias de transformação;1;0;-51.9958370;-26.4788009
Pato Branco;0;Paraná;PR;Sul;782;728;845;778;3598922; 44590.78;82881;Demais serviços;Indústrias de transformação;Comércio e reparação de veículos automotores e motocicletas;8;0;-52.6711356;-26.2297202
Pinhais;0;Paraná;PR;Sul;751;666;836;761;5593790; 43213.64;132157;Demais serviços;Comércio e reparação de veículos automotores e motocicletas;Indústrias de transformação;7;0;-49.1931448;-25.4434411
Piraquara;0;Paraná;PR;Sul;700;574;869;689;1222237; 11343.16;113036;Administração, defesa, educação e saúde públicas e seguridade social;Demais serviços;Comércio e reparação de veículos automotores e motocicletas;3;0;-49.0628847;-25.4426635
Ponta Grossa;0;Paraná;PR;Sul;763;703;837;755;14533645; 42208.23;351736;Demais serviços;Indústrias de transformação;Comércio e reparação de veículos automotores e motocicletas;8;0;-50.1545956;-25.0949322
Rolândia;0;Paraná;PR;Sul;739;661;821;744;2599072; 40154.99;66580;Indústrias de transformação;Demais serviços;Administração, defesa, educação e saúde públicas e seguridade social;1;0;-51.3768221;-23.3160342
Santo Antônio da Platina;0;Paraná;PR;Sul;718;617;817;733;1141374; 24910.49;45993;Demais serviços;Administração, defesa, educação e saúde públicas e seguridade social;Comércio e reparação de veículos automotores e motocicletas;1;0;-50.0726882;-23.2980974
São José dos Pinhais;0;Paraná;PR;Sul;758;678;859;749;22581192; 73427.61;323340;Demais serviços;Indústrias de transformação;Comércio e reparação de veículos automotores e motocicletas;9;0;-49.2035722;-25.5318354
Umuarama;0;Paraná;PR;Sul;761;698;836;755;3284406; 29870.46;111557;Demais serviços;Comércio e reparação de veículos automotores e motocicletas;Administração, defesa, educação e saúde públicas e seguridade social;1;0;-53.3206105;-23.7661064
Antônio Carlos;0;Santa Catarina;SC;Sul;749;615;890;768;577385; 69338.86;8513;Demais serviços;Indústrias de transformação;Agricultura, inclusive apoio à agricultura e a pós colheita;1;0;-48.7684179;-27.5179042
Araranguá;0;Santa Catarina;SC;Sul;760;691;853;745;1724538; 25697.19;68228;Demais serviços;Comércio e reparação de veículos automotores e motocicletas;Administração, defesa, educação e saúde públicas e seguridade social;1;0;-49.4923013;-28.9361187
Balneário Camboriú;0;Santa Catarina;SC;Sul;845;789;894;854;5148510; 38061.55;142295;Demais serviços;Comércio e reparação de veículos automotores e motocicletas;Administração, defesa, educação e saúde públicas e seguridade social;6;0;-48.6379041;-27.0015966
Blumenau;0;Santa Catarina;SC;Sul;806;722;894;812;16008744; 45934.42;357199;Demais serviços;Indústrias de transformação;Comércio e reparação de veículos automotores e motocicletas;30;1807385;-49.0717331;-26.9165792
Braço do Norte;0;Santa Catarina;SC;Sul;778;716;881;746;1134369; 34745.45;33450;Demais serviços;Indústrias de transformação;Administração, defesa, educação e saúde públicas e seguridade social;1;0;-49.1575402;-28.2793737
Brusque;0;Santa Catarina;SC;Sul;795;707;894;794;5883938; 45676.36;134723;Demais serviços;Indústrias de transformação;Administração, defesa, educação e saúde públicas e seguridade social;3;1637867;-48.9111422;-27.0982053
Caçador;0;Santa Catarina;SC;Sul;735;620;878;728;3073698; 39751.41;78595;Indústrias de transformação;Demais serviços;Administração, defesa, educação e saúde públicas e seguridade social;2;0;-51.0124989;-26.7761609
Camboriú;0;Santa Catarina;SC;Sul;726;600;866;736;1350594; 17154.54;82989;Demais serviços;Administração, defesa, educação e saúde públicas e seguridade social;Comércio e reparação de veículos automotores e motocicletas;1;0;-48.6508147;-27.0245779
Chapecó;0;Santa Catarina;SC;Sul;790;727;871;779;8890178; 41683.33;220367;Demais serviços;Indústrias de transformação;Comércio e reparação de veículos automotores e motocicletas;6;0;-52.6156990;-27.1009343
Concórdia;0;Santa Catarina;SC;Sul;800;756;872;777;3178922; 43094.67;74641;Demais serviços;Indústrias de transformação;Comércio e reparação de veículos automotores e motocicletas;1;0;-52.0275531;-27.2331134
Criciúma;0;Santa Catarina;SC;Sul;788;737;846;786;7146731; 33811.63;215186;Demais serviços;Indústrias de transformação;Administração, defesa, educação e saúde públicas e seguridade social;6;0;-49.3733541;-28.6726329
Florianópolis;1;Santa Catarina;SC;Sul;847;800;873;870;19512519; 40162.60;500973;Demais serviços;Administração, defesa, educação e saúde públicas e seguridade social;Comércio e reparação de veículos automotores e motocicletas;197;47139661;-48.5482195;-27.5948698
Garopaba;0;Santa Catarina;SC;Sul;753;668;868;737;534079; 24186.15;23078;Demais serviços;Administração, defesa, educação e saúde públicas e seguridade social;Comércio e reparação de veículos automotores e motocicletas;1;0;-48.6189508;-28.0272534
Içara;0;Santa Catarina;SC;Sul;741;645;861;732;2101908; 38324.51;56421;Demais serviços;Indústrias de transformação;Comércio e reparação de veículos automotores e motocicletas;1;0;-49.3091437;-28.7137096
Imbituba;0;Santa Catarina;SC;Sul;765;703;868;734;1547410; 35107.78;44853;Demais serviços;Comércio e reparação de veículos automotores e motocicletas;Administração, defesa, educação e saúde públicas e seguridade social;1;0;-48.6691286;-28.2276270
Indaial;0;Santa Catarina;SC;Sul;777;701;873;767;2499704; 37591.23;69425;Indústrias de transformação;Demais serviços;Administração, defesa, educação e saúde públicas e seguridade social;2;898391;-49.2358981;-26.8997445
Itá;0;Santa Catarina;SC;Sul;771;698;879;747;240134; 38268.38;6169;Demais serviços;Indústrias de transformação;Administração, defesa, educação e saúde públicas e seguridade social;8;1460970;-52.3267979;-27.2771065
Itajaí;0;Santa Catarina;SC;Sul;795;730;884;778;21913882;103068.37;219536;Comércio e reparação de veículos automotores e motocicletas;Demais serviços;Indústrias de transformação;9;0;-48.6709514;-26.9105964
Jaraguá do Sul;0;Santa Catarina;SC;Sul;803;755;865;793;8528976; 49925.22;177697;Indústrias de transformação;Demais serviços;Administração, defesa, educação e saúde públicas e seguridade social;7;0;-49.0734770;-26.4822209
Joaçaba;0;Santa Catarina;SC;Sul;827;771;891;823;1576907; 53259.48;30118;Demais serviços;Indústrias de transformação;Comércio e reparação de veículos automotores e motocicletas;1;0;-51.5054475;-27.1743773
Joinville;0;Santa Catarina;SC;Sul;809;749;889;795;27378205; 47442.90;590466;Demais serviços;Indústrias de transformação;Comércio e reparação de veículos automotores e motocicletas;52;42050214;-48.8452269;-26.2834213
Lages;0;Santa Catarina;SC;Sul;770;697;867;755;5074152; 32011.96;157544;Demais serviços;Indústrias de transformação;Administração, defesa, educação e saúde públicas e seguridade social;10;40000;-50.3263560;-27.8154629
Luzerna;0;Santa Catarina;SC;Sul;789;718;877;781;158845; 27843.14;5685;Demais serviços;Indústrias de transformação;Administração, defesa, educação e saúde públicas e seguridade social;2;0;-51.4683568;-27.1310356
Mafra;0;Santa Catarina;SC;Sul;777;723;880;738;1659985; 29691.89;56292;Demais serviços;Administração, defesa, educação e saúde públicas e seguridade social;Comércio e reparação de veículos automotores e motocicletas;2;0;-49.8091065;-26.1164276
Massaranduba;0;Santa Catarina;SC;Sul;774;714;867;749;588956; 35791.94;16916;Indústrias de transformação;Demais serviços;Agricultura, inclusive apoio à agricultura e a pós colheita;1;0;-48.9807651;-26.6195818
Palhoça;0;Santa Catarina;SC;Sul;757;672;859;752;4832015; 29298.08;171797;Demais serviços;Comércio e reparação de veículos automotores e motocicletas;Administração, defesa, educação e saúde públicas e seguridade social;10;0;-48.6701406;-27.6460201
Pinhalzinho;0;Santa Catarina;SC;Sul;783;716;886;758;1019308; 52242.72;20313;Indústrias de transformação;Demais serviços;Comércio e reparação de veículos automotores e motocicletas;1;0;-52.9872109;-26.8525857
Porto Belo;0;Santa Catarina;SC;Sul;760;660;886;750;944823; 46556.77;21388;Comércio e reparação de veículos automotores e motocicletas;Demais serviços;Administração, defesa, educação e saúde públicas e seguridade social;1;0;-48.5757024;-27.1574690
Porto União;0;Santa Catarina;SC;Sul;786;724;891;752;702997; 19967.54;35398;Demais serviços;Administração, defesa, educação e saúde públicas e seguridade social;Indústrias de transformação;1;0;-51.0817102;-26.2389124
Rio do Sul;0;Santa Catarina;SC;Sul;802;727;894;793;2571376; 37165.06;71061;Demais serviços;Indústrias de transformação;Comércio e reparação de veículos automotores e motocicletas;5;0;-49.6435018;-27.2160932
Rio Negrinho;0;Santa Catarina;SC;Sul;738;668;848;710;1092305; 25989.31;42302;Demais serviços;Indústrias de transformação;Administração, defesa, educação e saúde públicas e seguridade social;2;0;-49.5180670;-26.2499033
Santo Amaro da Imperatriz;0;Santa Catarina;SC;Sul;781;710;890;753;753610; 33332.32;23245;Eletricidade e gás, água, esgoto, atividades de gestão de resíduos e descontaminação;Demais serviços;Administração, defesa, educação e saúde públicas e seguridade social;1;0;-48.7817857;-27.6856839
São José;0;Santa Catarina;SC;Sul;809;752;880;799;10131013; 42262.21;246586;Demais serviços;Comércio e reparação de veículos automotores e motocicletas;Administração, defesa, educação e saúde públicas e seguridade social;6;500000;-48.6370861;-27.6140791
São Lourenço do Oeste;0;Santa Catarina;SC;Sul;749;695;807;748;839374; 35419.61;24076;Demais serviços;Indústrias de transformação;Administração, defesa, educação e saúde públicas e seguridade social;2;0;-52.8527323;-26.3544977
