Ano;State;Region;PIB;"PIB Y-1";"Growing Tax"
2011;Goiás;Centro-oeste;121296722.00;106770107.00;0.136055
2011;Maranhão;Nordeste;52143528.00;46309630.00;0.125976
2011;"Mato Grosso";Centro-oeste;69153952.00;56600957.00;0.221781
2011;"Mato Grosso do Sul";Centro-oeste;55133157.00;47270652.00;0.166330
2011;"Minas Gerais";Sudeste;400124688.00;351123420.00;0.139556
2011;Pará;Norte;98710733.00;82684518.00;0.193824
2011;Paraíba;Nordeste;37109139.00;33522490.00;0.106992
2011;Paraná;Sul;257122268.00;225205247.00;0.141724
2011;Pernambuco;Nordeste;110161562.00;97189752.00;0.133469
2011;Piauí;Nordeste;25941369.00;22269147.00;0.164902
2011;"Rio de Janeiro";Sudeste;512767901.00;449858101.00;0.139844
2011;"Rio Grande do Norte";Nordeste;40992928.00;36184501.00;0.132886
2011;"Rio Grande do Sul";Sul;265056420.00;241249165.00;0.098683
2011;Rondônia;Norte;27574713.00;23907884.00;0.153373
2011;Roraima;Norte;7303718.00;6639150.00;0.100098
2011;"Santa Catarina";Sul;174068321.00;153726009.00;0.132328
2011;"São Paulo";Sudeste;1436672706.00;1294695991.00;0.109660
2011;Sergipe;Nordeste;29108273.00;26404894.00;0.102382
2011;Tocantins;Norte;18345684.00;16404814.00;0.118311
2012;Acre;Norte;10137925.00;8949433.00;0.132801
2012;Alagoas;Nordeste;34650396.00;31657324.00;0.094546
2012;Amapá;Norte;11130869.00;9409226.00;0.182974
2012;Amazonas;Norte;72242703.00;70734402.00;0.021323
2012;Bahia;Nordeste;182572537.00;166602807.00;0.095855
2012;Ceará;Nordeste;96973750.00;89695826.00;0.081140
2012;"Distrito Federal";Centro-oeste;164101336.00;154568954.00;0.061671
2012;"Espírito Santo";Sudeste;116850585.00;105976223.00;0.102611
2012;Goiás;Centro-oeste;138757833.00;121296722.00;0.143954
2012;Maranhão;Nordeste;60490110.00;52143528.00;0.160069
2012;"Mato Grosso";Centro-oeste;79665685.00;69153952.00;0.152005
2012;"Mato Grosso do Sul";Centro-oeste;62013199.00;55133157.00;0.124790
2012;"Minas Gerais";Sudeste;442282828.00;400124688.00;0.105363
2012;Pará;Norte;107080878.00;98710733.00;0.084795
2012;Paraíba;Nordeste;42488343.00;37109139.00;0.144956
2012;Paraná;Sul;285620201.00;257122268.00;0.110834
2012;Pernambuco;Nordeste;127989042.00;110161562.00;0.161830
2012;Piauí;Nordeste;28637680.00;25941369.00;0.103939
2012;"Rio de Janeiro";Sudeste;574884973.00;512767901.00;0.121141
2012;"Rio Grande do Norte";Nordeste;46431253.00;40992928.00;0.132665
2012;"Rio Grande do Sul";Sul;287587015.00;265056420.00;0.085003
2012;Rondônia;Norte;30112721.00;27574713.00;0.092041
2012;Roraima;Norte;7711468.00;7303718.00;0.055828
2012;"Santa Catarina";Sul;191794656.00;174068321.00;0.101836
2012;"São Paulo";Sudeste;1559033441.00;1436672706.00;0.085170
2012;Sergipe;Nordeste;32853181.00;29108273.00;0.128654
2012;Tocantins;Norte;20684430.00;18345684.00;0.127482
2013;Acre;Norte;11473929.00;10137925.00;0.131783
2013;Alagoas;Nordeste;37282529.00;34650396.00;0.075963
2013;Amapá;Norte;12763485.00;11130869.00;0.146675
2013;Amazonas;Norte;83051228.00;72242703.00;0.149614
2013;Bahia;Nordeste;204844273.00;182572537.00;0.121988
2013;Ceará;Nordeste;109036561.00;96973750.00;0.124393
2013;"Distrito Federal";Centro-oeste;175906726.00;164101336.00;0.071940
2013;"Espírito Santo";Sudeste;117274345.00;116850585.00;0.003627
2013;Goiás;Centro-oeste;151300180.00;138757833.00;0.090390
2013;Maranhão;Nordeste;67694839.00;60490110.00;0.119106
2013;"Mato Grosso";Centro-oeste;89212915.00;79665685.00;0.119841
2013;"Mato Grosso do Sul";Centro-oeste;68920542.00;62013199.00;0.111385
2013;"Minas Gerais";Sudeste;488004902.00;442282828.00;0.103377
2013;Pará;Norte;121011806.00;107080878.00;0.130097
2013;Paraíba;Nordeste;46377285.00;42488343.00;0.091530
2013;Paraná;Sul;333481153.00;285620201.00;0.167569
2013;Pernambuco;Nordeste;141150250.00;127989042.00;0.102831
2013;Piauí;Nordeste;31283598.00;28637680.00;0.092393
2013;"Rio de Janeiro";Sudeste;628226073.00;574884973.00;0.092786
2013;"Rio Grande do Norte";Nordeste;51518454.00;46431253.00;0.109564
2013;"Rio Grande do Sul";Sul;332259877.00;287587015.00;0.155337
2013;Rondônia;Norte;31121412.00;30112721.00;0.033497
2013;Roraima;Norte;9010725.00;7711468.00;0.168484
2013;"Santa Catarina";Sul;214338196.00;191794656.00;0.117540
2013;"São Paulo";Sudeste;1715238415.00;1559033441.00;0.100193
2013;Sergipe;Nordeste;35335989.00;32853181.00;0.075573
2013;Tocantins;Norte;23796659.00;20684430.00;0.150462
2014;Acre;Norte;13458696.00;11473929.00;0.172981
2014;Alagoas;Nordeste;40974993.00;37282529.00;0.099040
2014;Amapá;Norte;13400286.00;12763485.00;0.049892
2014;Amazonas;Norte;86668642.00;83051228.00;0.043556
2014;Bahia;Nordeste;223929965.00;204844273.00;0.093172
2014;Ceará;Nordeste;126054461.00;109036561.00;0.156075
2014;"Distrito Federal";Centro-oeste;197432059.00;175906726.00;0.122368
2014;"Espírito Santo";Sudeste;128783779.00;117274345.00;0.098141
